"seq","gubun","confCase","confCaseRate","death","deathRate","criticalRate","createDt","updateDt"
3167,"30-39",2619,"12.37",2,"0.60","0.08","2020-09-06 15:49:50.83","null"
3168,"20-29",4460,"21.06",,"0.00",,"2020-09-06 15:49:50.83","null"
3169,"10-19",1197,"5.65",,"0.00",,"2020-09-06 15:49:50.83","null"
3170,"0-9",493,"2.33",,"0.00",,"2020-09-06 15:49:50.83","null"
3182,"남성",9680,"45.45",178,"52.98","1.84","2020-09-07 14:15:24.136","null"
3183,"여성",11616,"54.55",158,"47.02","1.36","2020-09-07 14:15:24.136","null"
3184,"80 이상",860,"4.04",170,"50.60","19.77","2020-09-07 14:15:24.136","null"
3185,"70-79",1632,"7.66",102,"30.36","6.25","2020-09-07 14:15:24.136","null"
3186,"60-69",3238,"15.2",42,"12.50","1.3","2020-09-07 14:15:24.136","null"
3187,"50-59",3902,"18.32",16,"4.76","0.41","2020-09-07 14:15:24.136","null"
3188,"40-49",2857,"13.42",4,"1.19","0.14","2020-09-07 14:15:24.137","null"
3189,"30-39",2636,"12.38",2,"0.60","0.08","2020-09-07 14:15:24.137","null"
3190,"20-29",4473,"21",,"0.00",,"2020-09-07 14:15:24.137","null"
3191,"10-19",1202,"5.64",,"0.00",,"2020-09-07 14:15:24.137","null"
3192,"0-9",496,"2.33",,"0.00",,"2020-09-07 14:15:24.137","null"
3204,"남성",9753,"45.51",181,"53.08","1.86","2020-09-08 14:29:04.008","null"
3205,"여성",11679,"54.49",160,"46.92","1.37","2020-09-08 14:29:04.008","null"
3206,"80 이상",863,"4.03",173,"50.73","20.05","2020-09-08 14:29:04.008","null"
3207,"70-79",1646,"7.68",104,"30.50","6.32","2020-09-08 14:29:04.008","null"
3208,"60-69",3264,"15.23",42,"12.32","1.29","2020-09-08 14:29:04.008","null"
3209,"50-59",3936,"18.37",16,"4.69","0.41","2020-09-08 14:29:04.009","null"
3210,"40-49",2874,"13.41",4,"1.17","0.14","2020-09-08 14:29:04.009","null"
3211,"30-39",2653,"12.38",2,"0.59","0.08","2020-09-08 14:29:04.009","null"
3212,"20-29",4485,"20.93",,"0.00",,"2020-09-08 14:29:04.009","null"
3213,"10-19",1210,"5.65",,"0.00",,"2020-09-08 14:29:04.009","null"
3214,"0-9",501,"2.34",,"0.00",,"2020-09-08 14:29:04.009","null"
3226,"남성",9829,"45.53",182,"52.91","1.85","2020-09-09 14:14:23.454","null"
3227,"여성",11759,"54.47",162,"47.09","1.38","2020-09-09 14:14:23.455","null"
3228,"80 이상",869,"4.03",175,"50.87","20.14","2020-09-09 14:14:23.455","null"
3229,"70-79",1668,"7.73",105,"30.52","6.29","2020-09-09 14:14:23.455","null"
3230,"60-69",3312,"15.34",42,"12.21","1.27","2020-09-09 14:14:23.455","null"
3231,"50-59",3964,"18.36",16,"4.65","0.4","2020-09-09 14:14:23.455","null"
3232,"40-49",2889,"13.38",4,"1.16","0.14","2020-09-09 14:14:23.455","null"
3233,"30-39",2669,"12.36",2,"0.58","0.07","2020-09-09 14:14:23.455","null"
3234,"20-29",4492,"20.81",,"0.00",,"2020-09-09 14:14:23.455","null"
3235,"10-19",1218,"5.64",,"0.00",,"2020-09-09 14:14:23.455","null"
3236,"0-9",507,"2.35",,"0.00",,"2020-09-09 14:14:23.456","null"
3248,"남성",9905,"45.55",183,"52.89","1.85","2020-09-10 14:14:39.954","null"
3249,"여성",11838,"54.45",163,"47.11","1.38","2020-09-10 14:14:39.954","null"
3250,"80 이상",880,"4.05",176,"50.87","20","2020-09-10 14:14:39.954","null"
3251,"70-79",1680,"7.73",106,"30.64","6.31","2020-09-10 14:14:39.954","null"
3252,"60-69",3356,"15.43",42,"12.14","1.25","2020-09-10 14:14:39.954","null"
3253,"50-59",3993,"18.36",16,"4.62","0.4","2020-09-10 14:14:39.954","null"
3254,"40-49",2906,"13.37",4,"1.16","0.14","2020-09-10 14:14:39.954","null"
3255,"30-39",2682,"12.34",2,"0.58","0.07","2020-09-10 14:14:39.954","null"
3256,"20-29",4505,"20.72",,"0.00",,"2020-09-10 14:14:39.955","null"
3257,"10-19",1222,"5.62",,"0.00",,"2020-09-10 14:14:39.955","null"
3258,"0-9",519,"2.39",,"0.00",,"2020-09-10 14:14:39.955","null"
3270,"남성",9982,"45.54",185,"52.86","1.85","2020-09-11 14:46:43.635","null"
3271,"여성",11937,"54.46",165,"47.14","1.38","2020-09-11 14:46:43.635","null"
3272,"80 이상",897,"4.09",178,"50.86","19.84","2020-09-11 14:46:43.635","null"
3273,"70-79",1696,"7.74",108,"30.86","6.37","2020-09-11 14:46:43.635","null"
3274,"60-69",3396,"15.49",42,"12.00","1.24","2020-09-11 14:46:43.636","null"
3275,"50-59",4027,"18.37",16,"4.57","0.4","2020-09-11 14:46:43.636","null"
3276,"40-49",2928,"13.36",4,"1.14","0.14","2020-09-11 14:46:43.636","null"
3277,"30-39",2701,"12.32",2,"0.57","0.07","2020-09-11 14:46:43.636","null"
3278,"20-29",4527,"20.65",,"0.00",,"2020-09-11 14:46:43.636","null"
3279,"10-19",1225,"5.59",,"0.00",,"2020-09-11 14:46:43.636","null"
3280,"0-9",522,"2.38",,"0.00",,"2020-09-11 14:46:43.636","null"
3292,"남성",10063,"45.63",186,"52.39","1.85","2020-09-12 14:10:58.241","null"
3293,"여성",11992,"54.37",169,"47.61","1.41","2020-09-12 14:10:58.241","null"
3294,"80 이상",901,"4.09",181,"50.99","20.09","2020-09-12 14:10:58.241","null"
3295,"70-79",1710,"7.75",109,"30.70","6.37","2020-09-12 14:10:58.241","null"
3296,"60-69",3425,"15.53",42,"11.83","1.23","2020-09-12 14:10:58.241","null"
3297,"50-59",4061,"18.41",17,"4.79","0.42","2020-09-12 14:10:58.241","null"
3298,"40-49",2946,"13.36",4,"1.13","0.14","2020-09-12 14:10:58.242","null"
3299,"30-39",2713,"12.3",2,"0.56","0.07","2020-09-12 14:10:58.242","null"
3300,"20-29",4543,"20.6",,"0.00",,"2020-09-12 14:10:58.242","null"
3301,"10-19",1230,"5.58",,"0.00",,"2020-09-12 14:10:58.242","null"
3302,"0-9",526,"2.38",,"0.00",,"2020-09-12 14:10:58.242","null"
3336,"남성",10177,"45.67",190,"52.34","1.87","2020-09-14 14:10:14.078","null"
3337,"여성",12108,"54.33",173,"47.66","1.43","2020-09-14 14:10:14.079","null"
3338,"80 이상",908,"4.07",185,"50.96","20.37","2020-09-14 14:10:14.079","null"
3339,"70-79",1734,"7.78",113,"31.13","6.52","2020-09-14 14:10:14.079","null"
3340,"60-69",3481,"15.62",42,"11.57","1.21","2020-09-14 14:10:14.079","null"
3341,"50-59",4104,"18.42",17,"4.68","0.41","2020-09-14 14:10:14.079","null"
3342,"40-49",2968,"13.32",4,"1.10","0.13","2020-09-14 14:10:14.079","null"
3343,"30-39",2738,"12.29",2,"0.55","0.07","2020-09-14 14:10:14.079","null"
3344,"20-29",4584,"20.57",,"0.00",,"2020-09-14 14:10:14.079","null"
3345,"10-19",1236,"5.55",,"0.00",,"2020-09-14 14:10:14.079","null"
3346,"0-9",532,"2.39",,"0.00",,"2020-09-14 14:10:14.08","null"
3369,"남성",10225,"45.67",192,"52.32","1.88","2020-09-15 14:27:01.576","null"
3370,"여성",12166,"54.33",175,"47.68","1.44","2020-09-15 14:27:01.576","null"
3371,"80 이상",910,"4.06",188,"51.23","20.66","2020-09-15 14:27:01.576","null"
3372,"70-79",1745,"7.79",114,"31.06","6.53","2020-09-15 14:27:01.577","null"
3373,"60-69",3506,"15.66",42,"11.44","1.2","2020-09-15 14:27:01.577","null"
3374,"50-59",4122,"18.41",17,"4.63","0.41","2020-09-15 14:27:01.578","null"
3375,"40-49",2986,"13.34",4,"1.09","0.13","2020-09-15 14:27:01.578","null"
3376,"30-39",2748,"12.27",2,"0.54","0.07","2020-09-15 14:27:01.579","null"
3377,"20-29",4592,"20.51",,"0.00",,"2020-09-15 14:27:01.579","null"
3378,"10-19",1244,"5.56",,"0.00",,"2020-09-15 14:27:01.579","null"
3379,"0-9",538,"2.4",,"0.00",,"2020-09-15 14:27:01.58","null"
3380,"남성",10292,"45.73",192,"52.32","1.87","2020-09-16 14:45:15.945","null"
3381,"여성",12212,"54.27",175,"47.68","1.43","2020-09-16 14:45:15.945","null"
3382,"80 이상",914,"4.06",188,"51.23","20.57","2020-09-16 14:45:15.945","null"
3383,"70-79",1763,"7.83",114,"31.06","6.47","2020-09-16 14:45:15.945","null"
3384,"60-69",3531,"15.69",42,"11.44","1.19","2020-09-16 14:45:15.945","null"
3385,"50-59",4144,"18.41",17,"4.63","0.41","2020-09-16 14:45:15.946","null"
3386,"40-49",3003,"13.34",4,"1.09","0.13","2020-09-16 14:45:15.946","null"
3387,"30-39",2757,"12.25",2,"0.54","0.07","2020-09-16 14:45:15.946","null"
3388,"20-29",4606,"20.47",,"0.00",,"2020-09-16 14:45:15.946","null"
3389,"10-19",1247,"5.54",,"0.00",,"2020-09-16 14:45:15.946","null"
3390,"0-9",539,"2.4",,"0.00",,"2020-09-16 14:45:15.946","null"
3424,"남성",10423,"45.75",198,"52.52","1.9","2020-09-18 14:16:12.059","null"
3425,"여성",12360,"54.25",179,"47.48","1.45","2020-09-18 14:16:12.059","null"
3426,"80 이상",923,"4.05",194,"51.46","21.02","2020-09-18 14:16:12.059","null"
3427,"70-79",1792,"7.87",118,"31.30","6.58","2020-09-18 14:16:12.059","null"
3428,"60-69",3582,"15.72",42,"11.14","1.17","2020-09-18 14:16:12.06","null"
3429,"50-59",4204,"18.45",17,"4.51","0.4","2020-09-18 14:16:12.06","null"
3430,"40-49",3044,"13.36",4,"1.06","0.13","2020-09-18 14:16:12.06","null"
3431,"30-39",2785,"12.22",2,"0.53","0.07","2020-09-18 14:16:12.06","null"
3432,"20-29",4647,"20.4",,"0.00",,"2020-09-18 14:16:12.06","null"
3433,"10-19",1259,"5.53",,"0.00",,"2020-09-18 14:16:12.06","null"
3434,"0-9",547,"2.4",,"0.00",,"2020-09-18 14:16:12.06","null"
3446,"남성",10468,"45.73",199,"52.65","1.9","2020-09-19 14:20:21.162","null"
3447,"여성",12425,"54.27",179,"47.35","1.44","2020-09-19 14:20:21.162","null"
3448,"80 이상",929,"4.06",195,"51.59","20.99","2020-09-19 14:20:21.162","null"
3449,"70-79",1807,"7.89",118,"31.22","6.53","2020-09-19 14:20:21.163","null"
3450,"60-69",3608,"15.76",42,"11.11","1.16","2020-09-19 14:20:21.163","null"
3451,"50-59",4239,"18.52",17,"4.50","0.4","2020-09-19 14:20:21.163","null"
3452,"40-49",3053,"13.34",4,"1.06","0.13","2020-09-19 14:20:21.163","null"
3453,"30-39",2792,"12.2",2,"0.53","0.07","2020-09-19 14:20:21.163","null"
3454,"20-29",4653,"20.32",,"0.00",,"2020-09-19 14:20:21.163","null"
3455,"10-19",1264,"5.52",,"0.00",,"2020-09-19 14:20:21.163","null"
3456,"0-9",548,"2.39",,"0.00",,"2020-09-19 14:20:21.163","null"
3468,"남성",10468,"45.73",199,"52.65","1.9","2020-09-20 14:17:09.142","null"
3469,"여성",12425,"54.27",179,"47.35","1.44","2020-09-20 14:17:09.142","null"
3470,"80 이상",929,"4.06",195,"51.59","20.99","2020-09-20 14:17:09.142","null"
3471,"70-79",1807,"7.89",118,"31.22","6.53","2020-09-20 14:17:09.142","null"
3472,"60-69",3608,"15.76",42,"11.11","1.16","2020-09-20 14:17:09.142","null"
3473,"50-59",4239,"18.52",17,"4.50","0.4","2020-09-20 14:17:09.142","null"
3474,"40-49",3053,"13.34",4,"1.06","0.13","2020-09-20 14:17:09.142","null"
3475,"30-39",2792,"12.2",2,"0.53","0.07","2020-09-20 14:17:09.143","null"
3476,"20-29",4653,"20.32",,"0.00",,"2020-09-20 14:17:09.143","null"
3477,"10-19",1264,"5.52",,"0.00",,"2020-09-20 14:17:09.143","null"
3478,"0-9",548,"2.39",,"0.00",,"2020-09-20 14:17:09.143","null"
3490,"남성",10552,"45.79",202,"52.47","1.91","2020-09-21 14:38:13.78","null"
3491,"여성",12493,"54.21",183,"47.53","1.46","2020-09-21 14:38:13.78","null"
3492,"80 이상",934,"4.05",199,"51.69","21.31","2020-09-21 14:38:13.78","null"
3493,"70-79",1828,"7.93",121,"31.43","6.62","2020-09-21 14:38:13.78","null"
3494,"60-69",3634,"15.77",42,"10.91","1.16","2020-09-21 14:38:13.78","null"
3495,"50-59",4264,"18.5",17,"4.42","0.4","2020-09-21 14:38:13.781","null"
3496,"40-49",3073,"13.33",4,"1.04","0.13","2020-09-21 14:38:13.781","null"
3497,"30-39",2812,"12.2",2,"0.52","0.07","2020-09-21 14:38:13.781","null"
3498,"20-29",4678,"20.3",,"0.00",,"2020-09-21 14:38:13.781","null"
3499,"10-19",1272,"5.52",,"0.00",,"2020-09-21 14:38:13.781","null"
3500,"0-9",550,"2.39",,"0.00",,"2020-09-21 14:38:13.781","null"
3512,"남성",10589,"45.83",203,"52.32","1.92","2020-09-22 14:09:42.24","null"
3513,"여성",12517,"54.17",185,"47.68","1.48","2020-09-22 14:09:42.24","null"
3514,"80 이상",935,"4.05",199,"51.29","21.28","2020-09-22 14:09:42.24","null"
3515,"70-79",1833,"7.93",123,"31.70","6.71","2020-09-22 14:09:42.24","null"
3516,"60-69",3644,"15.77",43,"11.08","1.18","2020-09-22 14:09:42.24","null"
3517,"50-59",4280,"18.52",17,"4.38","0.4","2020-09-22 14:09:42.24","null"
3518,"40-49",3083,"13.34",4,"1.03","0.13","2020-09-22 14:09:42.24","null"
3519,"30-39",2822,"12.21",2,"0.52","0.07","2020-09-22 14:09:42.24","null"
3520,"20-29",4684,"20.27",,"0.00",,"2020-09-22 14:09:42.241","null"
3521,"10-19",1274,"5.51",,"0.00",,"2020-09-22 14:09:42.241","null"
3522,"0-9",551,"2.38",,"0.00",,"2020-09-22 14:09:42.241","null"
3534,"남성",10648,"45.86",203,"52.32","1.91","2020-09-23 14:14:20.924","null"
3535,"여성",12568,"54.14",185,"47.68","1.47","2020-09-23 14:14:20.924","null"
3536,"80 이상",940,"4.05",199,"51.29","21.17","2020-09-23 14:14:20.924","null"
3537,"70-79",1855,"7.99",123,"31.70","6.63","2020-09-23 14:14:20.925","null"
3538,"60-69",3663,"15.78",43,"11.08","1.17","2020-09-23 14:14:20.925","null"
3539,"50-59",4303,"18.53",17,"4.38","0.4","2020-09-23 14:14:20.925","null"
3540,"40-49",3097,"13.34",4,"1.03","0.13","2020-09-23 14:14:20.925","null"
3541,"30-39",2832,"12.2",2,"0.52","0.07","2020-09-23 14:14:20.925","null"
3542,"20-29",4693,"20.21",,"0.00",,"2020-09-23 14:14:20.925","null"
3543,"10-19",1278,"5.5",,"0.00",,"2020-09-23 14:14:20.925","null"
3544,"0-9",555,"2.39",,"0.00",,"2020-09-23 14:14:20.925","null"
3556,"남성",10713,"45.9",207,"52.67","1.93","2020-09-24 14:30:28.377","null"
3557,"여성",12628,"54.1",186,"47.33","1.47","2020-09-24 14:30:28.377","null"
3558,"80 이상",949,"4.07",200,"50.89","21.07","2020-09-24 14:30:28.377","null"
3559,"70-79",1864,"7.99",126,"32.06","6.76","2020-09-24 14:30:28.378","null"
3560,"60-69",3690,"15.81",43,"10.94","1.17","2020-09-24 14:30:28.378","null"
3561,"50-59",4332,"18.56",18,"4.58","0.42","2020-09-24 14:30:28.378","null"
3562,"40-49",3114,"13.34",4,"1.02","0.13","2020-09-24 14:30:28.378","null"
3563,"30-39",2841,"12.17",2,"0.51","0.07","2020-09-24 14:30:28.378","null"
3564,"20-29",4708,"20.17",,"0.00",,"2020-09-24 14:30:28.378","null"
3565,"10-19",1282,"5.49",,"0.00",,"2020-09-24 14:30:28.378","null"
3566,"0-9",561,"2.4",,"0.00",,"2020-09-24 14:30:28.378","null"
3578,"남성",10767,"45.9",208,"52.66","1.93","2020-09-25 14:31:46.077","null"
3579,"여성",12688,"54.1",187,"47.34","1.47","2020-09-25 14:31:46.077","null"
3580,"80 이상",959,"4.09",200,"50.63","20.86","2020-09-25 14:31:46.077","null"
3581,"70-79",1878,"8.01",128,"32.41","6.82","2020-09-25 14:31:46.077","null"
3582,"60-69",3712,"15.83",43,"10.89","1.16","2020-09-25 14:31:46.077","null"
3583,"50-59",4351,"18.55",18,"4.56","0.41","2020-09-25 14:31:46.077","null"
3584,"40-49",3129,"13.34",4,"1.01","0.13","2020-09-25 14:31:46.078","null"
3585,"30-39",2855,"12.17",2,"0.51","0.07","2020-09-25 14:31:46.078","null"
3586,"20-29",4720,"20.12",,"0.00",,"2020-09-25 14:31:46.078","null"
3587,"10-19",1285,"5.48",,"0.00",,"2020-09-25 14:31:46.078","null"
3588,"0-9",566,"2.41",,"0.00",,"2020-09-25 14:31:46.078","null"
3600,"남성",10792,"45.89",211,"52.88","1.96","2020-09-26 14:09:05.524","null"
3601,"여성",12724,"54.11",188,"47.12","1.48","2020-09-26 14:09:05.524","null"
3602,"80 이상",959,"4.08",202,"50.63","21.06","2020-09-26 14:09:05.524","null"
3603,"70-79",1887,"8.02",130,"32.58","6.89","2020-09-26 14:09:05.524","null"
3604,"60-69",3728,"15.85",43,"10.78","1.15","2020-09-26 14:09:05.524","null"
3605,"50-59",4361,"18.54",18,"4.51","0.41","2020-09-26 14:09:05.524","null"
3606,"40-49",3134,"13.33",4,"1.00","0.13","2020-09-26 14:09:05.524","null"
3607,"30-39",2862,"12.17",2,"0.50","0.07","2020-09-26 14:09:05.524","null"
3608,"20-29",4727,"20.1",,"0.00",,"2020-09-26 14:09:05.525","null"
3609,"10-19",1291,"5.49",,"0.00",,"2020-09-26 14:09:05.525","null"
3610,"0-9",567,"2.41",,"0.00",,"2020-09-26 14:09:05.525","null"
3622,"남성",10834,"45.89",213,"53.12","1.97","2020-09-27 14:22:48.572","null"
3623,"여성",12777,"54.11",188,"46.88","1.47","2020-09-27 14:22:48.572","null"
3624,"80 이상",961,"4.07",203,"50.62","21.12","2020-09-27 14:22:48.572","null"
3625,"70-79",1894,"8.02",130,"32.42","6.86","2020-09-27 14:22:48.572","null"
3626,"60-69",3748,"15.87",44,"10.97","1.17","2020-09-27 14:22:48.572","null"
3627,"50-59",4380,"18.55",18,"4.49","0.41","2020-09-27 14:22:48.572","null"
3628,"40-49",3146,"13.32",4,"1.00","0.13","2020-09-27 14:22:48.572","null"
3629,"30-39",2878,"12.19",2,"0.50","0.07","2020-09-27 14:22:48.572","null"
3630,"20-29",4741,"20.08",,"0.00",,"2020-09-27 14:22:48.572","null"
3631,"10-19",1295,"5.48",,"0.00",,"2020-09-27 14:22:48.573","null"
3632,"0-9",568,"2.41",,"0.00",,"2020-09-27 14:22:48.573","null"
3644,"남성",10860,"45.9",216,"53.20","1.99","2020-09-28 14:15:38.281","null"
3645,"여성",12801,"54.1",190,"46.80","1.48","2020-09-28 14:15:38.282","null"
3646,"80 이상",965,"4.08",205,"50.49","21.24","2020-09-28 14:15:38.282","null"
3647,"70-79",1897,"8.02",132,"32.51","6.96","2020-09-28 14:15:38.282","null"
3648,"60-69",3760,"15.89",44,"10.84","1.17","2020-09-28 14:15:38.282","null"
3649,"50-59",4390,"18.55",19,"4.68","0.43","2020-09-28 14:15:38.282","null"
3650,"40-49",3151,"13.32",4,"0.99","0.13","2020-09-28 14:15:38.282","null"
3651,"30-39",2881,"12.18",2,"0.49","0.07","2020-09-28 14:15:38.282","null"
3652,"20-29",4746,"20.06",,"0.00",,"2020-09-28 14:15:38.282","null"
3653,"10-19",1299,"5.49",,"0.00",,"2020-09-28 14:15:38.283","null"
3654,"0-9",572,"2.42",,"0.00",,"2020-09-28 14:15:38.283","null"
3666,"남성",10887,"45.94",216,"53.07","1.98","2020-09-29 14:18:28.079","null"
3667,"여성",12812,"54.06",191,"46.93","1.49","2020-09-29 14:18:28.079","null"
3668,"80 이상",969,"4.09",205,"50.37","21.16","2020-09-29 14:18:28.079","null"
3669,"70-79",1897,"8",133,"32.68","7.01","2020-09-29 14:18:28.079","null"
3670,"60-69",3764,"15.88",44,"10.81","1.17","2020-09-29 14:18:28.079","null"
3671,"50-59",4395,"18.55",19,"4.67","0.43","2020-09-29 14:18:28.079","null"
3672,"40-49",3158,"13.33",4,"0.98","0.13","2020-09-29 14:18:28.079","null"
3673,"30-39",2888,"12.19",2,"0.49","0.07","2020-09-29 14:18:28.079","null"
3674,"20-29",4754,"20.06",,"0.00",,"2020-09-29 14:18:28.08","null"
3675,"10-19",1301,"5.49",,"0.00",,"2020-09-29 14:18:28.08","null"
3676,"0-9",573,"2.42",,"0.00",,"2020-09-29 14:18:28.08","null"
3688,"남성",10964,"46.04",217,"52.54","1.98","2020-09-30 14:14:09.282","null"
3689,"여성",12848,"53.96",196,"47.46","1.53","2020-09-30 14:14:09.282","null"
3690,"80 이상",971,"4.08",208,"50.36","21.42","2020-09-30 14:14:09.283","null"
3691,"70-79",1906,"8",136,"32.93","7.14","2020-09-30 14:14:09.283","null"
3692,"60-69",3782,"15.88",44,"10.65","1.16","2020-09-30 14:14:09.283","null"
3693,"50-59",4421,"18.57",19,"4.60","0.43","2020-09-30 14:14:09.283","null"
3694,"40-49",3178,"13.35",4,"0.97","0.13","2020-09-30 14:14:09.283","null"
3695,"30-39",2908,"12.21",2,"0.48","0.07","2020-09-30 14:14:09.283","null"
3696,"20-29",4762,"20",,"0.00",,"2020-09-30 14:14:09.283","null"
3697,"10-19",1306,"5.48",,"0.00",,"2020-09-30 14:14:09.283","null"
3698,"0-9",578,"2.43",,"0.00",,"2020-09-30 14:14:09.283","null"
3710,"남성",11007,"46.08",219,"52.77","1.99","2020-10-01 14:25:26.072","null"
3711,"여성",12882,"53.92",196,"47.23","1.52","2020-10-01 14:25:26.072","null"
3712,"80 이상",975,"4.08",208,"50.12","21.33","2020-10-01 14:25:26.072","null"
3713,"70-79",1913,"8.01",138,"33.25","7.21","2020-10-01 14:25:26.073","null"
3714,"60-69",3795,"15.89",44,"10.60","1.16","2020-10-01 14:25:26.073","null"
3715,"50-59",4434,"18.56",19,"4.58","0.43","2020-10-01 14:25:26.073","null"
3716,"40-49",3192,"13.36",4,"0.96","0.13","2020-10-01 14:25:26.073","null"
3717,"30-39",2917,"12.21",2,"0.48","0.07","2020-10-01 14:25:26.073","null"
3718,"20-29",4769,"19.96",,"0.00",,"2020-10-01 14:25:26.073","null"
3719,"10-19",1310,"5.48",,"0.00",,"2020-10-01 14:25:26.073","null"
3720,"0-9",584,"2.44",,"0.00",,"2020-10-01 14:25:26.073","null"
3732,"남성",11045,"46.11",220,"52.88","1.99","2020-10-02 14:13:05.032","null"
3733,"여성",12907,"53.89",196,"47.12","1.52","2020-10-02 14:13:05.033","null"
3734,"80 이상",979,"4.09",209,"50.24","21.35","2020-10-02 14:13:05.033","null"
3735,"70-79",1917,"8",138,"33.17","7.2","2020-10-02 14:13:05.033","null"
3736,"60-69",3808,"15.9",44,"10.58","1.16","2020-10-02 14:13:05.033","null"
3737,"50-59",4445,"18.56",19,"4.57","0.43","2020-10-02 14:13:05.033","null"
3738,"40-49",3198,"13.35",4,"0.96","0.13","2020-10-02 14:13:05.033","null"
3739,"30-39",2927,"12.22",2,"0.48","0.07","2020-10-02 14:13:05.033","null"
3740,"20-29",4775,"19.94",,"0.00",,"2020-10-02 14:13:05.034","null"
3741,"10-19",1316,"5.49",,"0.00",,"2020-10-02 14:13:05.034","null"
3742,"0-9",587,"2.45",,"0.00",,"2020-10-02 14:13:05.034","null"
3754,"남성",11092,"46.16",224,"53.33","2.02","2020-10-03 14:19:43.546","null"
3755,"여성",12935,"53.84",196,"46.67","1.52","2020-10-03 14:19:43.546","null"
3756,"80 이상",982,"4.09",210,"50.00","21.38","2020-10-03 14:19:43.546","null"
3757,"70-79",1930,"8.03",141,"33.57","7.31","2020-10-03 14:19:43.546","null"
3758,"60-69",3824,"15.92",44,"10.48","1.15","2020-10-03 14:19:43.546","null"
3759,"50-59",4456,"18.55",19,"4.52","0.43","2020-10-03 14:19:43.546","null"
3760,"40-49",3209,"13.36",4,"0.95","0.12","2020-10-03 14:19:43.547","null"
3761,"30-39",2940,"12.24",2,"0.48","0.07","2020-10-03 14:19:43.547","null"
3762,"20-29",4781,"19.9",,"0.00",,"2020-10-03 14:19:43.547","null"
3763,"10-19",1317,"5.48",,"0.00",,"2020-10-03 14:19:43.547","null"
3764,"0-9",588,"2.45",,"0.00",,"2020-10-03 14:19:43.547","null"
3776,"남성",11132,"46.21",225,"53.44","2.02","2020-10-04 14:27:12.579","null"
3777,"여성",12959,"53.79",196,"46.56","1.51","2020-10-04 14:27:12.579","null"
3778,"80 이상",988,"4.1",210,"49.88","21.26","2020-10-04 14:27:12.579","null"
3779,"70-79",1938,"8.04",141,"33.49","7.28","2020-10-04 14:27:12.58","null"
3780,"60-69",3836,"15.92",45,"10.69","1.17","2020-10-04 14:27:12.58","null"
3781,"50-59",4464,"18.53",19,"4.51","0.43","2020-10-04 14:27:12.58","null"
3782,"40-49",3222,"13.37",4,"0.95","0.12","2020-10-04 14:27:12.58","null"
3783,"30-39",2949,"12.24",2,"0.48","0.07","2020-10-04 14:27:12.58","null"
3784,"20-29",4785,"19.86",,"0.00",,"2020-10-04 14:27:12.58","null"
3785,"10-19",1321,"5.48",,"0.00",,"2020-10-04 14:27:12.58","null"
3786,"0-9",588,"2.44",,"0.00",,"2020-10-04 14:27:12.58","null"
3798,"남성",11179,"46.26",226,"53.55","2.02","2020-10-05 14:36:08.128","null"
3799,"여성",12985,"53.74",196,"46.45","1.51","2020-10-05 14:36:08.128","null"
3800,"80 이상",992,"4.11",210,"49.76","21.17","2020-10-05 14:36:08.128","null"
3801,"70-79",1944,"8.05",141,"33.41","7.25","2020-10-05 14:36:08.129","null"
3802,"60-69",3850,"15.93",46,"10.90","1.19","2020-10-05 14:36:08.129","null"
3803,"50-59",4476,"18.52",19,"4.50","0.42","2020-10-05 14:36:08.129","null"
3804,"40-49",3230,"13.37",4,"0.95","0.12","2020-10-05 14:36:08.129","null"
3805,"30-39",2958,"12.24",2,"0.47","0.07","2020-10-05 14:36:08.129","null"
3806,"20-29",4802,"19.87",,"0.00",,"2020-10-05 14:36:08.129","null"
3807,"10-19",1324,"5.48",,"0.00",,"2020-10-05 14:36:08.129","null"
3808,"0-9",588,"2.43",,"0.00",,"2020-10-05 14:36:08.129","null"
3820,"남성",11229,"46.33",226,"53.55","2.01","2020-10-06 14:29:50.978","null"
3821,"여성",13010,"53.67",196,"46.45","1.51","2020-10-06 14:29:50.978","null"
3822,"80 이상",994,"4.1",210,"49.76","21.13","2020-10-06 14:29:50.978","null"
3823,"70-79",1948,"8.04",141,"33.41","7.24","2020-10-06 14:29:50.979","null"
3824,"60-69",3859,"15.92",46,"10.90","1.19","2020-10-06 14:29:50.979","null"
3825,"50-59",4487,"18.51",19,"4.50","0.42","2020-10-06 14:29:50.979","null"
3826,"40-49",3232,"13.33",4,"0.95","0.12","2020-10-06 14:29:50.979","null"
3827,"30-39",2966,"12.24",2,"0.47","0.07","2020-10-06 14:29:50.979","null"
3828,"20-29",4828,"19.92",,"0.00",,"2020-10-06 14:29:50.979","null"
3829,"10-19",1332,"5.5",,"0.00",,"2020-10-06 14:29:50.979","null"
3830,"0-9",593,"2.45",,"0.00",,"2020-10-06 14:29:50.979","null"
3842,"남성",11282,"46.33",227,"53.41","2.01","2020-10-07 14:37:21.511","null"
3843,"여성",13071,"53.67",198,"46.59","1.51","2020-10-07 14:37:21.511","null"
3844,"80 이상",999,"4.1",213,"50.12","21.32","2020-10-07 14:37:21.511","null"
3845,"70-79",1964,"8.06",141,"33.18","7.18","2020-10-07 14:37:21.511","null"
3846,"60-69",3890,"15.97",46,"10.82","1.18","2020-10-07 14:37:21.511","null"
3847,"50-59",4515,"18.54",19,"4.47","0.42","2020-10-07 14:37:21.512","null"
